run,time_s,wall_s
1,1.346520002,1.371939123
2,1.436703465,1.461872885
3,1.379534577,1.415029242
4,1.291892968,1.311695945
5,1.290423967,1.315357514
6,1.301222917,1.326017969
7,1.319543411,1.333433428
8,1.347347588,1.356627132
9,1.334993517,1.360373796
10,1.269696355,1.289174885
avg,1.331787877,
min,1.269696355,
max,1.436703465,
