3964,"SEG:main#001@199-216",94699422447,94699563524,141077
3964,"SEG:main#002@217-217",94699594493,94699640370,45877
3964,"SEG:main#003@218-218",94699644438,94699691637,47199
3964,"SEG:main#004@219-219",94699694543,94699724910,30367
3964,"SEG:main#005@220-220",94699727185,94699887489,160304
3964,"SEG:main#006@221-221",94699894472,94699931021,36549
3964,"SEG:main#007@222-222",94699933346,94699956119,22773
3964,"SEG:main#008@223-223",94699958243,94700094411,136168
3964,"SEG:main#009@224-224",94700098439,94700134577,36138
3964,"SEG:main#010@225-225",94700136902,94700196124,59222
3964,"SEG:main#011@226-226",94700199761,94700230008,30247
3964,"SEG:main#012@227-227",94700232172,94700288619,56447
3964,"SEG:main#013@228-228",94700292156,94700560906,268750
3964,"SEG:main#014@229-229",94700566386,94700894809,328423
3964,"SEG:main#015@230-230",94700912562,94700912893,331
3964,"SEG:main#016@231-231",94700914887,94701052919,138032
3964,"SEG:main#017@232-232",94701057016,94701132780,75764
3964,"SEG:main#018@233-233",94701136768,94701136878,110
3964,"SEG:main#019@234-234",94701138461,94701157537,19076
3964,"SEG:main#020@235-235",94701160012,94701168708,8696
3964,"SEG:main#021@236-236",94701171143,94701202562,31419
3964,"SEG:main#022@237-237",94701205468,94701219274,13806
3964,"SEG:main#023@238-238",94701221168,94701230185,9017
3964,"SEG:main#024@239-239",94701232068,94701239312,7244
3964,"SEG:main#025@240-240",94701241186,94701247868,6682
3964,"SEG:main#026@241-241",94701249712,94701259480,9768
3964,"SEG:main#027@242-242",94701261344,94701268578,7234
3964,"SEG:main#028@243-243",94701270421,94701279839,9418
3964,"SEG:main#029@244-244",94701281682,94701288355,6673
3964,"SEG:main#030@245-245",94701290209,94701298604,8395
