algorithm,avg_s,min_s,max_s,median_s,n
CFS,3.7037909772999997,2.092344223,8.38442462,3.717434775,10
FIFO,2.0859289049,2.010321607,2.210502489,2.080746941,10
cpf,1.5969108819,1.514792765,1.649979643,1.601188139,10
heft,1.61647274,1.545845181,1.711032889,1.621535138,10
lpf,1.5918741344999998,1.540971196,1.638862246,1.592433321,10
t_level,2.0763114177000004,2.022830877,2.129235508,2.091981049,10
wcet_first,2.0734509912000005,2.026932603,2.116386634,2.074927263,10
zhao2020,1.6363823739,1.548002612,1.771460314,1.638344224,10
