run,time_s,wall_s
1,2.195351259,2.242341373
2,2.250431477,2.287078324
3,2.201906907,2.225368575
4,2.223919757,2.266880269
5,2.154476630,2.170898107
6,2.218929045,2.252668754
7,2.162772939,2.224176473
8,2.218555216,2.298461678
9,2.167839004,2.206678816
10,2.166807377,2.213101627
11,2.185754704,2.267614616
12,2.160438009,2.246382750
13,2.165404531,2.257359300
14,2.155892396,2.189138719
15,2.186929214,2.202139360
16,2.212431484,2.251801162
17,2.205864341,2.275114144
18,2.152347417,2.200514450
19,2.157115271,2.220888331
20,2.161920433,2.226935456
21,2.207356088,2.263686290
22,2.151370879,2.248480005
23,2.178855809,2.249908176
24,2.151839432,2.249101745
25,2.230633275,2.281239996
26,2.153888110,2.227449359
27,2.145958236,2.190815007
28,2.173198242,2.251702689
29,2.238002870,2.311902549
30,2.168383204,2.193230554
31,2.221110133,2.296034797
32,2.180862604,2.278611127
33,2.248481041,2.306517233
34,2.176756273,2.210989154
35,2.142449517,2.178343655
36,2.166708589,2.249907294
37,2.228658202,2.304422146
38,2.174877732,2.229914930
39,2.147443693,2.215549709
40,2.153367020,2.218094471
41,2.205379733,2.261181014
42,2.170521098,2.288570120
43,2.168832329,2.259224862
44,2.176749865,2.257350525
45,2.258485402,2.344671342
46,2.162737130,2.264693434
47,2.173767300,2.275596822
48,2.238359521,2.322327873
49,2.182338030,2.237413627
50,2.158214314,2.184755194
51,2.165270334,2.229494843
52,2.145366821,2.257280383
53,2.175502493,2.254789280
54,2.201916711,2.254747191
55,2.160862611,2.222514154
56,2.188540433,2.230160401
57,2.208740996,2.271714341
58,2.195107053,2.287022670
59,2.162097086,2.207816832
60,2.171030812,2.283632056
61,2.196624119,2.231759471
62,2.145987332,2.187846843
63,2.152250998,2.273394575
64,2.170032068,2.250522605
65,2.210091564,2.255076723
66,2.137818949,2.227300489
67,2.155917942,2.211763330
68,2.191923396,2.218783559
69,2.255430481,2.300267317
70,2.154190444,2.207760057
71,2.187241081,2.208499692
72,2.195680236,2.281707321
73,2.217836669,2.254219414
74,2.143015921,2.197436127
75,2.189461061,2.214269958
76,2.166749879,2.216588053
77,2.152367883,2.216817682
78,2.214937048,2.334561853
79,2.169934079,2.204047940
80,2.163142306,2.211032859
81,2.174084463,2.221051562
82,2.209005015,2.248337925
83,2.190671093,2.253277738
84,2.205294848,2.284094024
85,2.245528364,2.356744623
86,2.188362285,2.213903003
87,2.191431836,2.223595609
88,2.163508163,2.232863340
89,2.168280893,2.213291794
90,2.217372105,2.266484556
91,2.186387966,2.233088000
92,2.183343135,2.222392114
93,2.176300139,2.258213747
94,2.207785670,2.276647196
95,2.177654808,2.318162296
96,2.163700132,2.232629487
97,2.228940598,2.311376342
98,2.144439909,2.193271757
99,2.163471656,2.216044080
100,2.152660673,2.228896505
avg,2.183239656,
min,2.137818949,
max,2.258485402,
