algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.300369544,1.202453247,1.416258355,1.297456927,10
FIFO,1.194809441,1.160263285,1.278955773,1.192838225,10
cpf,1.234649928,1.169806025,1.331983831,1.240053263,10
heft,1.203840287,1.155701218,1.303042273,1.198513742,10
lpf,1.240098177,1.153081580,1.297553258,1.252232962,10
t_level,1.307720148,1.244104871,1.363092385,1.306287800,10
wcet_first,1.260212137,1.194499435,1.344249672,1.270716122,10
zhao2020,1.235100693,1.188905778,1.321478545,1.229613257,10
