platform,算法名,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
zhang1,cpf,100,100,0.221805449,0.243964542,-0.099903287,0.022159093,22.180544897,24.396454235,0.194431069,0.294837278,0.235679529,0.269810899,"0,1",2,2026-03-19T16-32-46+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/cpf_ws100_r100_cpu01_2026-03-19T16-32-46+08-00
zhang1,heft,100,100,0.227703707,0.196037155,0.139069111,-0.031666552,22.770370674,19.603715470,0.194162251,0.315922051,0.181671359,0.210986086,"0,1",2,2026-03-19T16-52-58+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/heft_ws100_r100_cpu01_2026-03-19T16-52-58+08-00
zhang1,t_level,100,100,0.224214940,0.196300713,0.124497624,-0.027914227,22.421493993,19.630071267,0.194062794,0.278465417,0.187862965,0.225334760,"0,1",2,2026-03-19T16-52-13+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/t_level_ws100_r100_cpu01_2026-03-19T16-52-13+08-00
zhang1,wcet_first,100,100,0.219953938,0.242418057,-0.102131018,0.022464120,21.995393781,24.241805750,0.192989598,0.275571792,0.228951533,0.251497025,"0,1",2,2026-03-19T16-33-34+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/wcet_first_ws100_r100_cpu01_2026-03-19T16-33-34+08-00
zhang1,zhao2020,100,100,0.226387248,0.195720561,0.135461192,-0.030666686,22.638724778,19.572056140,0.193659464,0.303157886,0.191774627,0.201666448,"0,1",2,2026-03-19T16-34-23+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/zhao2020_ws100_r100_cpu01_2026-03-19T16-34-23+08-00
zhang11,cpf,100,100,1.565579373,1.646657000,-0.051787618,0.081077627,156.557937284,164.665699957,1.418223232,1.714163793,1.617209870,1.699238877,"0,1",2,2026-03-21T15-54-56+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang11/zhang11/cpf_ws100_r100_cpu01_2026-03-21T15-54-56+08-00
zhang11,heft,100,100,1.576142267,1.418182569,0.100219188,-0.157959698,157.614226698,141.818256854,1.427710369,1.841585736,1.342112168,1.489270485,"0,1",2,2026-03-21T16-15-26+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang11/zhang11/heft_ws100_r100_cpu01_2026-03-21T16-15-26+08-00
zhang11,t_level,100,100,1.527499980,1.403344213,0.081280372,-0.124155767,152.749998021,140.334421334,1.354758301,1.665612791,1.327259546,1.489681928,"0,1",2,2026-03-21T16-10-29+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang11/zhang11/t_level_ws100_r100_cpu01_2026-03-21T16-10-29+08-00
zhang11,wcet_first,100,100,1.567468442,1.427830826,0.089084802,-0.139637616,156.746844200,142.783082593,1.419674287,1.864827512,1.364343892,1.695888965,"0,1",2,2026-03-21T16-00-21+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang11/zhang11/wcet_first_ws100_r100_cpu01_2026-03-21T16-00-21+08-00
zhang11,zhao2020,100,100,1.569011116,1.436116653,0.084699504,-0.132894463,156.901111551,143.611665291,1.386462040,1.769655149,1.343145796,1.513681191,"0,1",2,2026-03-21T16-05-24+08-00,/home/firefly/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang11/zhang11/zhao2020_ws100_r100_cpu01_2026-03-21T16-05-24+08-00
