run,time_s,wall_s
1,4.195324363,4.215248572
2,4.155530610,4.176159731
3,4.048199493,4.073859145
4,4.055017933,4.081705961
5,4.060158283,4.085792513
6,4.028241453,4.077422069
7,4.057173648,4.083157120
8,4.041459411,4.088418838
9,4.261040190,4.308448804
10,4.332081032,4.374054872
11,4.208988605,4.247060369
12,4.164570241,4.190224608
13,4.147282157,4.167647389
14,4.126628517,4.147867770
15,4.110135480,4.114991754
16,4.052963024,4.110984436
17,4.064789314,4.127799007
18,4.138511369,4.142411553
19,4.133589111,4.175185007
20,4.134174552,4.166203948
21,4.181528879,4.201580986
22,4.092984232,4.136068971
23,4.091173521,4.122161011
24,4.160202649,4.195187361
25,4.171852688,4.215602120
26,4.158332735,4.168007314
27,4.138287632,4.141813990
28,4.097636604,4.116132005
29,4.187167246,4.207145470
30,4.081079109,4.140114562
31,4.102254512,4.143803200
32,4.199061567,4.225350600
33,4.142034498,4.162771027
34,4.094329225,4.130698033
35,4.114433030,4.158010235
36,4.114441279,4.161431641
37,4.070767745,4.096158483
38,4.043573329,4.085456975
39,4.142719828,4.162488407
40,4.135168937,4.176887305
41,4.099145780,4.130561261
42,4.079832415,4.122314935
43,4.045000585,4.081991012
44,4.062905087,4.114846063
45,4.060122045,4.102294828
46,4.071580429,4.124191365
47,4.114503925,4.150995128
48,4.162270458,4.196662151
49,4.106185359,4.149462947
50,4.059660261,4.090784569
51,4.033841782,4.203324724
52,4.039579147,4.134150475
53,4.050674823,4.172229573
54,4.169228364,4.207118394
55,4.117137157,4.172020677
56,4.050402647,4.094141100
57,4.042177782,4.066410634
58,4.066257878,4.151858820
59,4.064405862,4.119296804
60,4.028115932,4.044169209
61,4.062228182,4.206484535
62,4.180921997,4.293171576
63,4.121147220,4.169384887
64,4.058946891,4.090372380
65,4.103499128,4.198282624
66,4.057940282,4.138881988
67,4.191066098,4.276008932
68,4.080228611,4.163463741
69,4.118736782,4.147614764
70,4.111359872,4.154136919
71,4.082275471,4.163899004
72,4.081644481,4.169454782
73,4.178768228,4.284013895
74,4.062188175,4.147184602
75,4.028801364,4.110223892
76,4.114604980,4.162503572
77,4.062479202,4.107425630
78,4.145978795,4.205134456
79,4.187599649,4.229532557
80,4.042416643,4.086446805
81,4.066646547,4.098586037
82,4.057052210,4.147830202
83,4.197333656,4.278658971
84,4.169967244,4.244601297
85,4.108876189,4.151045296
86,4.075722020,4.101415271
87,4.088440475,4.124392099
88,4.023153940,4.074091912
89,4.038162272,4.093551031
90,4.031544731,4.096708375
91,4.072535578,4.121794037
92,4.141075642,4.198924573
93,4.160909475,4.225586708
94,4.050336524,4.099348477
95,4.072941318,4.115403484
96,4.134409883,4.171473146
97,4.071836158,4.119225185
98,4.057144851,4.098405275
99,4.132710618,4.147357260
100,4.139878578,4.160220120
avg,4.105214257,
min,4.023153940,
max,4.332081032,
