program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.178466290,0.178466290,0,"1,2"
prio,0,0.170556093,0.170556093,0,"1,2"
baseline,1,0.186317320,0.186317320,0,"1,2"
prio,1,0.165633394,0.165633394,0,"1,2"
