run,time_s,wall_s
1,5.043540328,5.053895520
2,5.081528632,5.089089325
3,3.121293252,3.129505120
4,5.178787502,5.197639941
5,4.366639346,4.374697045
6,3.579124628,3.597634062
7,4.083828761,4.121983397
8,4.910434342,4.922224846
9,7.068756018,7.094058467
10,5.502820709,5.519091278
avg,4.793675352,
min,3.121293252,
max,7.068756018,
