algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.2811262638999998,1.236956518,1.329596656,1.282518564,10
FIFO,1.3361605749999999,1.287698923,1.396286613,1.337393901,10
cpf,1.3298122142,1.29193365,1.417135285,1.327648949,10
heft,1.3271973949999998,1.274746202,1.392424057,1.324615575,10
lpf,1.2908808095000002,1.245759389,1.391155633,1.277927465,10
t_level,1.3616701233000001,1.329485281,1.397574778,1.36519483,10
wcet_first,1.3094926551,1.279025194,1.333197098,1.314111482,10
zhao2020,1.3154205628,1.287576856,1.354544888,1.317737382,10
