algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.750092381,1.747467044,1.754257390,1.748552709,3
FIFO,1.763838464,1.732529398,1.801385328,1.757600665,3
cpf,1.816642328,1.791388188,1.837787535,1.820751260,3
heft,1.709205140,1.678774385,1.726994393,1.721846642,3
lpf,1.639316974,1.598572114,1.682624507,1.636754302,3
t_level,1.858055669,1.822520032,1.907123677,1.844523298,3
wcet_first,1.782201442,1.666846707,1.905081460,1.774676158,3
zhao2020,1.812673386,1.737357368,1.931369146,1.769293643,3
