algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.5588297401,1.311790929,1.731401668,1.621938257,10
FIFO,1.7022676981,1.608625756,1.806514567,1.685509057,10
cpf,1.3210374797,1.290014399,1.372842283,1.317416616,10
heft,1.317216001,1.269176944,1.366976509,1.324117578,10
lpf,1.3369890429000002,1.270142364,1.474381916,1.322574395,10
t_level,1.5879425192999999,1.504543215,1.77258917,1.550876009,10
wcet_first,1.6017548465,1.55628399,1.635292824,1.613419144,10
zhao2020,1.3458636800000003,1.303666819,1.464096173,1.338114925,10
