algorithm,avg_s,min_s,max_s,median_s,n
CFS,2.112855345,1.713822097,2.525766470,2.098977469,3
FIFO,1.341082720,1.302813737,1.365715449,1.354718973,3
cpf,1.876176005,1.528153754,2.216885174,1.883489088,3
heft,1.248642560,1.136358207,1.471881585,1.137687889,3
lpf,1.721080788,1.592104631,1.905524193,1.665613541,3
t_level,1.780422906,1.546318199,2.121145333,1.673805185,3
wcet_first,1.588210333,1.400839552,1.808475614,1.555315834,3
zhao2020,1.805613749,1.404851924,2.020772579,1.991216744,3
