suite,platform,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
web_tasks,zhang2,100,50,1.519695590,1.447547554,0.047475321,-0.072148036,75.984779494,72.377377708,1.451724003,1.721888926,1.398683991,1.640576996,"0,1",2,2026-02-14T19-17-11+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T19-17-11+08-00_ws100_r50
web_tasks,zhang2,100,50,1.580966409,1.491830269,0.056380793,-0.089136140,79.048320465,74.591513445,1.452606122,2.781604099,1.399883520,1.698390427,"0,1",2,2026-02-14T19-19-40+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T19-19-40+08-00_ws100_r50
web_tasks,zhang2,100,50,1.548106932,1.459821454,0.057028023,-0.088285478,77.405346578,72.991072697,1.447229976,1.825792021,1.401763048,1.626341457,"0,1",2,2026-02-14T19-22-14+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T19-22-14+08-00_ws100_r50
web_tasks,zhang2,100,50,1.784159792,1.719741001,0.036105954,-0.064418791,89.207989623,85.987050068,1.600681780,1.973682934,1.635112702,2.037694144,"0,1,2,3",4,2026-02-13T19-23-56+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-23-56+08-00_ws100_r50
web_tasks,zhang2,100,50,1.714083505,1.704437519,0.005627489,-0.009645986,85.704175248,85.221875966,1.590012954,2.005630095,1.633964075,1.881951289,"0,1,2,3",4,2026-02-13T19-41-29+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-41-29+08-00_ws100_r50
web_tasks,zhang2,100,50,1.731271079,1.692487488,0.022401801,-0.038783591,86.563553964,84.624374415,1.597233925,2.002334004,1.591343540,2.060250121,"0,1,2,3",4,2026-02-13T19-58-43+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-58-43+08-00_ws100_r50
web_tasks,zhang2,100,50,1.847330908,1.833628232,0.007417553,-0.013702676,92.366545395,91.681411606,1.732831051,2.158021560,1.737345754,2.991155368,"2,3",2,2026-02-14T16-50-25+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T16-50-25+08-00_ws100_r50
web_tasks,zhang2,200,50,3.472291019,3.488304522,-0.004611797,0.016013503,173.614550968,174.415226099,3.202785033,3.963153625,3.267218634,4.188809306,"0,1,2,3",4,2026-02-13T19-26-52+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-26-52+08-00_ws200_r50
web_tasks,zhang2,200,50,3.387839306,3.453773403,-0.019461991,0.065934097,169.391965323,172.688670173,3.173423363,3.796720407,3.253347416,4.113014059,"0,1,2,3",4,2026-02-13T19-44-21+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-44-21+08-00_ws200_r50
web_tasks,zhang2,200,50,3.463541212,3.511585000,-0.013871291,0.048043787,173.177060611,175.579249975,3.235331550,3.973541824,3.263513982,4.240552790,"0,1,2,3",4,2026-02-13T20-01-35+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T20-01-35+08-00_ws200_r50
web_tasks,zhang2,300,50,5.243465237,5.311700569,-0.013013404,0.068235332,262.173261838,265.585028432,4.823081573,6.453036249,4.903684755,6.375842027,"0,1,2,3",4,2026-02-13T19-32-41+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-32-41+08-00_ws300_r50
web_tasks,zhang2,300,50,5.145886605,5.236160518,-0.017542927,0.090273913,257.294330258,261.808025917,4.758515541,5.733464253,4.903603341,6.216031814,"0,1,2,3",4,2026-02-13T19-50-03+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T19-50-03+08-00_ws300_r50
web_tasks,zhang2,300,50,5.138526319,5.217909700,-0.015448667,0.079383381,256.926315958,260.895484989,4.811929938,5.793462396,4.885534667,6.421029769,"0,1,2,3",4,2026-02-13T20-07-24+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T20-07-24+08-00_ws300_r50
web_tasks,zhang2,1000,1,17.152511692,18.395616030,-0.072473604,1.243104338,17.152511692,18.395616030,17.152511692,17.152511692,18.395616030,18.395616030,"0,1,2,3",4,2026-02-13T16-13-17+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T16-13-17+08-00_ws1000_r1
web_tasks,zhang2,1000,1,16.826821040,16.151782890,0.040116796,-0.675038150,16.826821040,16.151782890,16.826821040,16.826821040,16.151782890,16.151782890,"0,1,2,3",4,2026-02-13T16-37-34+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T16-37-34+08-00_ws1000_r1
web_tasks,zhang2,1000,50,33.092510726,20.418630210,0.382983347,-12.673880516,1654.625536322,1020.931510517,21.506848882,57.747787125,18.796037472,23.476746698,"0,1",2,2026-02-13T23-36-12+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-13T23-36-12+08-00_ws1000_r50
web_tasks,zhang2,5000,50,221.806235905,156.610872976,0.293929351,-65.195362929,11090.311795271,7830.543648797,180.596015168,285.485242882,93.715471756,201.870596314,"0,1",2,2026-02-14T00-20-48+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T00-20-48+08-00_ws5000_r50
web_tasks,zhang2,10000,1,199.114138791,201.806272753,-0.013520556,2.692133962,199.114138791,201.806272753,199.114138791,199.114138791,201.806272753,201.806272753,"0,1",2,2026-02-14T16-44-20+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang2实验结果汇总/web_tasks/2026-02-14T16-44-20+08-00_ws10000_r1
