algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.803785665,1.780923344,1.844769019,1.785664631,3
FIFO,1.453357318,1.367172194,1.535473144,1.457426617,3
cpf,1.250959781,1.203544314,1.307466423,1.241868607,3
heft,1.301204427,1.214498033,1.430064019,1.259051228,3
lpf,1.328165692,1.274969543,1.376577197,1.332950335,3
t_level,1.490434156,1.434157493,1.522003119,1.515141857,3
wcet_first,1.326906742,1.300152689,1.345754368,1.334813168,3
zhao2020,1.238906758,1.231873221,1.251649694,1.233197360,3
