algorithm,avg_s,min_s,max_s,median_s,n
CFS,4.475458980,3.004927953,11.328864614,3.249169310,10
FIFO,1.725719827,1.684988073,1.793011653,1.722499129,10
cpf,3.365155985,1.787582843,4.845815363,3.433531290,10
heft,2.971575593,1.690864052,3.413086024,3.274917211,10
lpf,1.711592334,1.595520456,1.845771945,1.695685650,10
t_level,2.840986813,1.761470604,6.356608568,1.903276781,10
wcet_first,2.743528206,1.826804408,3.379738635,3.119297154,10
zhao2020,2.493629305,1.863990690,3.423631517,2.568545716,10
