run,time_s,wall_s
1,2.927978470,2.954214085
2,5.926575548,5.933626373
3,5.880463322,5.888812711
4,6.033625566,6.042799828
5,6.427022414,6.438375242
6,3.701583157,3.714987960
7,4.845761677,4.853275390
8,4.084951451,4.092824805
9,5.312088565,5.323262291
10,4.205691577,4.218987864
avg,4.934574175,
min,2.927978470,
max,6.427022414,
