run,time_s,wall_s
1,2.163885026,2.167260142
2,2.083372596,2.087029718
3,2.046155386,2.050128118
4,2.066657609,2.070268634
5,2.032031054,2.035472679
6,2.031306450,2.034689967
7,2.047323506,2.050699092
8,2.044317028,2.048001354
9,2.028485694,2.032330704
10,2.011620039,2.015362916
11,2.048016826,2.051873551
12,2.061627460,2.065303942
13,2.032363573,2.035821576
14,2.076735904,2.080263423
15,2.096315881,2.099662818
16,2.085079012,2.088573724
17,2.042670477,2.046143481
18,2.092508205,2.095841456
19,2.054294659,2.057647697
20,2.039837220,2.043166641
21,2.034307495,2.037853176
22,2.053441837,2.056874202
23,2.031847248,2.035549383
24,2.028528999,2.031877972
25,2.044148852,2.047358966
26,2.046688968,2.050011028
27,2.090572894,2.093877125
28,2.054725072,2.058586158
29,2.056430108,2.060227820
30,2.038100013,2.041655204
31,2.052357783,2.055681741
32,2.067571844,2.071248852
33,2.059059582,2.062367636
34,2.067949142,2.071181031
35,2.055420202,2.059055783
36,2.068578571,2.072107736
37,2.046036612,2.049555242
38,2.048976516,2.052398446
39,2.023678277,2.027160535
40,2.030773523,2.034078631
41,2.043783501,2.047096861
42,2.037971624,2.041408720
43,2.089184292,2.092777984
44,2.072298761,2.075973924
45,2.021810289,2.025380918
46,2.042971732,2.054357245
47,2.068924128,2.108041675
48,2.063055406,2.093984089
49,2.040286469,2.061451913
50,2.055816617,2.080958248
51,2.062987921,2.109742853
52,2.078607759,2.098553231
53,2.079134536,2.082427700
54,2.048257768,2.051632907
55,2.085138456,2.088628971
56,2.130535483,2.134057379
57,2.119402983,2.123117177
58,2.107505650,2.111024103
59,2.097987298,2.101583801
60,2.088677437,2.092198290
61,2.069857045,2.073235687
62,2.072718635,2.076160655
63,2.098046463,2.101835063
64,2.097322579,2.100974959
65,2.072688032,2.076396153
66,2.108072236,2.111323034
67,2.070405681,2.073921564
68,2.031043527,2.034511619
69,2.035431172,2.039043404
70,2.057909749,2.061506944
71,2.046040617,2.049353787
72,2.043128100,2.046474603
73,2.041754070,2.045115628
74,2.072028742,2.075858414
75,2.042163325,2.045425901
76,2.069724215,2.073311973
77,2.057278474,2.060739675
78,2.055923684,2.059253632
79,2.045802051,2.071211440
80,2.055058806,2.080415824
81,2.033747912,2.049630545
82,2.065139816,2.101309917
83,2.047845151,2.078547290
84,2.048455912,2.073429335
85,2.032648564,2.058660210
86,2.047816613,2.094792659
87,2.025733240,2.078430333
88,2.047097563,2.092474068
89,2.030276362,2.055810791
90,2.056651277,2.082534158
91,2.038965751,2.070910264
92,2.062131510,2.065762404
93,2.107688791,2.111135136
94,2.065920567,2.069314645
95,2.032311658,2.035743346
96,2.049555026,2.052869146
97,2.062959523,2.066323213
98,2.084060536,2.087602342
99,2.044580231,2.048372174
100,2.068896385,2.072902793
avg,2.059130148,
min,2.011620039,
max,2.163885026,
