run,time_s,wall_s
1,0.511686743,0.522430609
2,0.272014151,0.277687711
3,0.334412197,0.349084352
4,0.272145373,0.296925052
5,0.272255035,0.277030835
6,0.309075959,0.314563140
7,0.272225825,0.276881457
8,0.272285035,0.277785925
9,0.272243294,0.277666892
10,0.537720695,0.558777785
avg,0.332606431,
min,0.272014151,
max,0.537720695,
