algorithm,avg_s,min_s,max_s,median_s,n
CFS,11.3775609195,5.069224916,28.855363634,5.981949221,10
FIFO,1.8990178809,1.800942297,2.074817987,1.887374507,10
cpf,2.2138801471,1.820040094,3.451191107,2.167226557,10
heft,1.7961377977999997,1.739835657,1.85500621,1.787442556,10
lpf,2.2695679492,1.833300544,3.37630721,1.903785667,10
t_level,2.9142211343000004,1.882159155,3.717814611,2.909806142,10
wcet_first,3.5325940752,1.785926252,6.971256443,3.541005042,10
zhao2020,2.9557731299,2.389881847,3.606731659,2.733151237,10
