run,time_s,wall_s
1,1.269500503,1.299708876
2,1.254706847,1.295950628
3,1.238790774,1.281322602
4,1.273602841,1.298427812
5,1.258874635,1.294754229
6,1.241013440,1.293278979
7,1.257922483,1.304113214
8,1.225691915,1.267554644
9,1.240665713,1.244419923
10,1.233039469,1.258548926
11,1.282973202,1.302610059
12,1.250546278,1.259863588
13,1.235927216,1.255264160
14,1.265253027,1.268491562
15,1.300251087,1.314571788
16,1.244519915,1.270238758
17,1.250082649,1.264388310
18,1.258357548,1.283250841
19,1.251637436,1.281815016
20,1.246726215,1.250149038
21,1.254928152,1.274798358
22,1.288464176,1.308608963
23,1.238008083,1.262765354
24,1.262143153,1.297212381
25,1.237129649,1.258813476
26,1.242086638,1.267065786
27,1.248445467,1.289809368
28,1.245925261,1.266280188
29,1.248535902,1.268056797
30,1.265576833,1.280028259
31,1.247154871,1.256640955
32,1.237653277,1.262668582
33,1.282183337,1.300942691
34,1.231154758,1.250901220
35,1.252647761,1.294241087
36,1.249633025,1.302682790
37,1.234303956,1.262445607
38,1.234284046,1.275252251
39,1.251428145,1.271399037
40,1.287985984,1.291870654
41,1.237066567,1.240543031
42,1.245849740,1.270788375
43,1.253317134,1.299734793
44,1.239023290,1.269894510
45,1.268208226,1.293281833
46,1.249523573,1.274410277
47,1.249284955,1.252816138
48,1.244406354,1.264049236
49,1.237974782,1.284729166
50,1.256887674,1.282187056
51,1.278061027,1.303329207
52,1.248321732,1.268024979
53,1.245660064,1.260539315
54,1.248260134,1.273764612
55,1.268022555,1.283598523
56,1.292400956,1.318170581
57,1.277398205,1.319086907
58,1.282891623,1.302693580
59,1.231103180,1.256296225
60,1.250574682,1.291706540
61,1.267359223,1.294242631
62,1.251649758,1.276828591
63,1.232732694,1.257887280
64,1.265254896,1.290328254
65,1.300513615,1.341893639
66,1.239057726,1.259092525
67,1.246255219,1.276692128
68,1.263827839,1.306650835
69,1.247094941,1.266949042
70,1.259871715,1.274307754
71,1.287331609,1.312146500
72,1.259403175,1.279620832
73,1.278355095,1.303854229
74,1.264514839,1.273866080
75,1.263184662,1.267281461
76,1.238611798,1.263533300
77,1.255540241,1.280726915
78,1.281585930,1.285271675
79,1.307379022,1.338476634
80,1.237578208,1.256858044
81,1.249249049,1.263987192
82,1.261325363,1.276297087
83,1.317250295,1.337578889
84,1.265102962,1.279607611
85,1.247232847,1.261641255
86,1.299744128,1.303350389
87,1.263161825,1.288120184
88,1.257507112,1.270126406
89,1.258530753,1.261955327
90,1.240395953,1.271126731
91,1.219151121,1.238891765
92,1.249124579,1.273975053
93,1.302667048,1.335474416
94,1.243668665,1.247529806
95,1.255362142,1.274856854
96,1.247243297,1.288741571
97,1.241431649,1.266900516
98,1.255897752,1.281305454
99,1.231245996,1.246907438
100,1.267192271,1.270567588
avg,1.256435791,
min,1.219151121,
max,1.317250295,
