run,time_s,wall_s
1,0.183165451,0.186172274
2,0.184416313,0.193081481
3,0.184811574,0.203512939
4,0.183661005,0.212369477
5,0.192607823,0.208198152
6,0.182528503,0.186465081
7,0.180561299,0.185262253
8,0.182755371,0.186226934
9,0.181701951,0.184979832
10,0.184721556,0.188098199
avg,0.184093085,
min,0.180561299,
max,0.192607823,
