platform,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
zhang3,100,50,5.512747785,5.366592993,0.026512149,-0.146154792,275.637389261,268.329649665,4.994054271,6.141955112,4.932786445,6.461540864,"0,1",2,2026-02-14T22-42-19+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang3实验结果汇总/heft/2026-02-14T22-42-19+08-00_ws100_r50
zhang3,100,50,5.557648813,5.423753832,0.024092019,-0.133894981,277.882440648,271.187691607,5.220866393,6.610504652,4.966071199,6.542012508,"0,1",2,2026-02-14T23-18-48+08-00,/home/chove/桌面/mycallyplus_v1/experiment/zhang3实验结果汇总/heft/2026-02-14T23-18-48+08-00_ws100_r50
