198802,"SEG:main#001@122-137",193890281993674,193890282092423,98749
198802,"SEG:main#002@138-138",193890282110638,193890282135503,24865
198802,"SEG:main#003@139-139",193890282138762,193890282234347,95585
198802,"SEG:main#004@140-140",193890282242362,193890290267804,8025442
198802,"SEG:main#005@141-141",193890290274318,193890290325620,51302
198802,"SEG:main#006@142-142",193890290328844,193890290328877,33
198802,"SEG:main#007@143-143",193890290330150,193904268749219,13978419069
198802,"SEG:main#008@144-144",193904268754251,193904268754802,551
198802,"SEG:main#009@145-145",193904268756328,193906008111700,1739355372
198802,"SEG:main#010@146-146",193906008116987,193918244701635,12236584648
198802,"MU:main#011@147-151",193918244706427,193929792163321,11547456894
198802,"SEG:main#012@152-154",193929792191422,193929792191530,108
