algorithm,avg_s,min_s,max_s,median_s,n
CFS,1.270567146,1.228706337,1.321117161,1.261877940,3
FIFO,1.337652675,1.284854186,1.365601550,1.362502290,3
cpf,1.340610759,1.297972331,1.383736019,1.340123926,3
heft,1.268715063,1.252723957,1.295933335,1.257487897,3
lpf,1.162982486,1.133643045,1.182760077,1.172544336,3
t_level,1.233633713,1.217832118,1.254307935,1.228761086,3
wcet_first,1.367573516,1.267628681,1.441187344,1.393904522,3
zhao2020,1.271266692,1.206217358,1.305586255,1.301996463,3
