algorithm,avg_s,min_s,max_s,median_s,n
CFS,3.329668733,2.945878074,3.829557087,3.213571039,3
FIFO,1.850181575,1.813846160,1.909360178,1.827338387,3
cpf,2.391491733,2.222187487,2.612379105,2.339908607,3
heft,2.003704935,1.810155844,2.218753608,1.982205354,3
lpf,1.737593754,1.691385596,1.820074979,1.701320686,3
t_level,2.374195202,2.025847381,2.586033787,2.510704439,3
wcet_first,2.087068025,1.985574811,2.261777029,2.013852235,3
zhao2020,2.349940332,1.844830192,2.769706589,2.435284215,3
