algorithm,avg_s,min_s,max_s,median_s,n
CFS,3.430886604,3.288854206,3.555540831,3.448264776,3
FIFO,1.765536699,1.695191337,1.826713023,1.774705738,3
cpf,2.033913211,2.004349583,2.068630869,2.028759182,3
heft,1.777896555,1.613829837,1.976197134,1.743662695,3
lpf,2.036431952,1.985604777,2.108766994,2.014924084,3
t_level,1.970270387,1.757570063,2.164755535,1.988485563,3
wcet_first,1.979808013,1.939829476,2.005026095,1.994568469,3
zhao2020,1.878170423,1.688882282,2.011716493,1.933912493,3
