algorithm,avg_s,min_s,max_s,median_s,n
CFS,2.530841414,1.672318476,4.621400337,2.421150412,10
FIFO,1.807996397,1.723785600,1.875816084,1.808480930,10
cpf,1.860349438,1.804595775,1.969753140,1.864341105,10
heft,1.794663185,1.690628233,1.913657805,1.805058443,10
lpf,1.728290056,1.664989067,1.778902679,1.731644701,10
t_level,1.823423388,1.692214128,1.874938579,1.854729811,10
wcet_first,1.793779620,1.694289620,1.843909455,1.816252038,10
zhao2020,1.889275590,1.789386778,1.995045673,1.884289016,10
