91280,"MU:lane4_fn#001@425-429",22477271192276,22477279147449,7955173
91280,"SEG:lane4_fn#002@430-431",22477280668472,22477280668530,58
91280,"MU:lane4_fn#003@432-436",22477292523269,22477303551991,11028722
91280,"SEG:lane4_fn#004@437-438",22477303568065,22477303568104,39
91280,"MU:lane4_fn#005@439-443",22477303571264,22477324077369,20506105
91280,"SEG:lane4_fn#006@444-445",22477324084342,22477324084378,36
91280,"MU:lane4_fn#007@446-450",22477326570931,22477350985707,24414776
91280,"SEG:lane4_fn#008@451-452",22477351013916,22477351013953,37
91280,"MU:lane4_fn#009@453-457",22477357135339,22477385590628,28455289
91280,"SEG:lane4_fn#010@458-458",22477385618787,22477385618825,38
